Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
0,GO:0006955,immune response,28/280,358/9469,0.0782122905027933,2.6449720670391064,5.538485616919184,2.3290303486227666e-6,6.297975317437062e-4,5.574638628702916e-4,181016/180613/177224/179429/184201/186340/179599/180993/188447/179428/187208/183349/177668/177425/179381/179047/176452/178244/183836/185179/259654/174044/179787/178506/180932/182010/24104671/179797,28
0,GO:0002376,immune system process,28/280,359/9469,0.07799442896935933,2.6376044568245125,5.521677809977915,2.459699684662479e-6,6.297975317437062e-4,5.574638628702916e-4,181016/180613/177224/179429/184201/186340/179599/180993/188447/179428/187208/183349/177668/177425/179381/179047/176452/178244/183836/185179/259654/174044/179787/178506/180932/182010/24104671/179797,28
0,GO:0009226,nucleotide-sugar biosynthetic process,6/280,16/9469,0.375,12.681696428571428,8.16309955341041,3.953596098567937e-6,6.297975317437062e-4,5.574638628702916e-4,183400/187512/177717/179484/4926919/182938,6
0,GO:0045087,innate immune response,26/280,329/9469,0.0790273556231003,2.6725358228397744,5.389820402359967,4.514153327227971e-6,6.297975317437062e-4,5.574638628702916e-4,181016/180613/177224/179429/184201/186340/179599/180993/188447/179428/187208/183349/177668/177425/179381/179047/176452/178244/183836/185179/259654/174044/179787/182010/24104671/179797,26
0,GO:1901135,carbohydrate derivative metabolic process,31/280,439/9469,0.07061503416856492,2.3880491376505044,5.1983706279479795,5.560874489917575e-6,6.297975317437062e-4,5.574638628702916e-4,175613/182818/180607/183400/179429/181385/187512/177717/179428/180935/183546/188583/183155/259729/189753/179484/172147/177913/177576/178985/187504/180290/181790/188041/4926919/182938/178535/189507/173323/180628/181517,31
0,GO:0007586,digestion,10/280,58/9469,0.1724137931034483,5.830665024630543,6.441352222032498,6.475122896588933e-6,6.297975317437062e-4,5.574638628702916e-4,181285/181078/173223/181604/188509/175953/171849/3565775/182010/174860,10
0,GO:0009607,response to biotic stimulus,32/280,465/9469,0.06881720430107527,2.3272503840245777,5.123132727350876,6.65920225789871e-6,6.297975317437062e-4,5.574638628702916e-4,181016/180613/177224/179429/184201/186340/179599/180993/188447/179428/187208/183349/177668/178563/259434/177425/179381/179047/176452/178244/183836/185179/259654/174044/179787/180628/174050/182010/24104671/171934/179243/179797,32
0,GO:0044419,biological process involved in interspecies interaction between organisms,32/280,467/9469,0.06852248394004283,2.3172835729580914,5.096150281875561,7.2788220207088255e-6,6.297975317437062e-4,5.574638628702916e-4,181016/180613/177224/179429/184201/186340/179599/180993/188447/179428/187208/183349/177668/178563/259434/177425/179381/179047/176452/178244/183836/185179/259654/174044/179787/180628/174050/182010/24104671/171934/179243/179797,32
0,GO:0006952,defense response,32/280,468/9469,0.06837606837606838,2.3123321123321126,5.082709824412624,7.6081170199613986e-6,6.297975317437062e-4,5.574638628702916e-4,181016/180613/177224/179429/184201/186340/179599/180993/188447/179428/187208/183349/177668/178563/259434/177425/179381/179047/176452/178244/183836/185179/259654/174044/179787/174050/182010/178140/24104671/171934/179243/179797,32
0,GO:0030198,extracellular matrix organization,8/280,36/9469,0.2222222222222222,7.515079365079365,6.836283400482437,7.788098084217308e-6,6.297975317437062e-4,5.574638628702916e-4,186927/177850/175953/179162/177788/175951/177956/177292,8
